Wall time,Step,Value
1493071486.739814,36629,0.59375
1493071488.059336,36659,0.75
1493071488.906824,36678,0.71875
1493071492.728831,36767,0.84375
1493071494.407746,36806,0.6875
1493071494.580986,36810,0.796875
1493071494.967345,36819,0.7890625
1493071496.294253,36850,0.7734375
1493071498.747099,36907,0.796875
1493071509.222526,37053,0.8359375
1493071514.279405,37169,0.859375
1493071515.704404,37202,0.8828125
1493071520.451793,37311,0.828125
1493071526.720739,37455,0.8671875
1493071528.192712,37489,0.890625
1493071540.15087,37764,0.890625
1493071542.03146,37807,0.9375
1493071545.129543,37876,0.9453125
1493071563.897226,38192,0.96875
1493071566.536245,38247,0.953125
1493071567.2173,38262,0.96875
1493071572.383263,38365,0.984375
1493071576.224562,38439,0.9765625
1493071576.952553,38455,0.96875
1493071577.442788,38466,0.953125
1493071579.026946,38500,0.984375
1493071583.044544,38580,0.9921875
1493071585.948164,38641,0.984375
1493071586.000946,38642,0.9921875
1493071588.720634,38700,0.9765625
1493071589.693005,38720,0.9765625
1493071591.749681,38763,0.9453125
1493071595.63137,38840,0.984375
1493071602.626049,38981,0.9921875
1493071608.134553,39004,0.9765625
1493071608.18122,39005,0.9921875
1493071614.657156,39141,0.9921875
1493071619.131925,39237,0.9765625
1493071621.821823,39296,0.96875
1493071622.338351,39307,0.9765625
1493071635.369253,39591,1.0
1493071640.258656,39702,0.9921875
1493071641.458691,39730,0.9765625
1493071643.775392,39781,0.9921875
1493071648.164559,39878,0.9921875
1493071649.648127,39909,0.9609375
1493071649.854786,39914,0.9921875
1493071650.607042,39931,0.984375
1493071659.207484,40020,1.0
1493071668.615632,40224,0.9921875
1493071672.014426,40296,0.984375
1493071677.026563,40401,0.984375
1493071681.004585,40488,0.9609375
1493071681.544867,40500,1.0
1493071683.006153,40532,0.9765625
1493071684.296982,40560,0.9765625
1493071688.125376,40647,0.9921875
1493071688.567889,40657,0.984375
1493071688.826486,40663,0.9921875
1493071689.000143,40667,0.9765625
1493071690.37529,40698,1.0
1493071690.471606,40700,0.9921875
1493071691.216822,40714,0.9921875
1493071691.540322,40720,0.9921875
1493071695.052128,40793,1.0
1493071711.206807,41040,0.9921875
1493071715.250155,41128,0.9921875
1493071716.41502,41154,0.9765625
1493071720.573784,41244,0.9921875
1493071721.83625,41271,0.9921875
1493071725.034455,41341,1.0
